검색조건
대출기간,2026-01-01 ~ 2026-06-27
성별,전체
연령,전체
지역,전체
ISBN 부가기호,전체
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2026-06-28
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"126","똥볶이 할멈 :K-히어로 판타지","글: 강효미 ;그림: 김무연","따끈따끈책방","2021","3","9791190409148","74810","813.7","8,065",
"127","장미와 나이프 ","지은이: 히가시노 게이고 ;옮긴이: 김윤경","오팬하우스","2025","","9791194930136","03830","833.6","8,061",
"128","슈뻘맨의 숨은 과학 찾기 :엉뚱 도전 속에 숨은 과학 상식","슈뻘맨 원작 ;류수형 그림","미래엔","2023","1","9791168415171","77400","400","8,052",
"129","지구 끝의 온실 :김초엽 장편소설 ","지은이: 김초엽","Giant Books(자이언트북스)","2021","","9791191824001","03810","813.7","8,041",
"130","흔한남매 과학 탐험대 3 : 인체","흔한남매 (원작), 이재국, 이현진, 서지은 (글), 김덕영 (그림), 정현철, 김희목, 권경아, 최진수, 박준건 (기획)","주니어김영사","2021","3","9788934983439","","","8,023",
"131","채식주의자:한강 연작소설","한강","창비","2007","","9788936433598","03810","813.6","8,015",
"132","슈뻘맨의 숨은 과학 찾기 :엉뚱 도전 속에 숨은 과학 상식","슈뻘맨 원작 ;류수형 그림","미래엔","2023","4","9791168418462","77400","400","7,979",
"133","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","13","9791168418783","77490","472","7,916",
"134","노 피플 존 :정이현 소설 ","지은이: 정이현","문학동네","2025","","9791141613433","03810","813.7","7,893",
"135","말뚝들 :김홍 장편소설 ","지은이: 김홍","한겨레엔","2025","","9791172133061","03810","813.7","7,876",
"136","두고 온 여름 :성해나 소설 ","지은이: 성해나","창비","2023","","9788936439002","03810","813.7","7,848",
"137","슈뻘맨의 숨은 과학 찾기 :엉뚱 도전 속에 숨은 과학 상식","슈뻘맨 원작 ;류수형 그림","미래엔","2023","5","9791173111686","77400","400","7,845",
"138","(흔한남매) 수수께끼 어드벤처 :수수께끼로 배우는 교과 지식","원작: 흔한남매 ;그림: 도니패밀리","미래엔","2022","1","9791168413078","77030","388","7,840",
"139","똥볶이 할멈 :K-히어로 판타지","글: 강효미 ;그림: 김무연","따끈따끈책방","2021","6","9791198511577","74810","813.7","7,825",
"140","나는 소망한다 내게 금지된 것을 :양귀자 장편소설 ","지은이: 양귀자","쓰다","2019","","9788998441074","03810","813.62","7,801",
"141","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","12","9791168417984","77490","472","7,800",
"142","아무도 오지 않는 곳에서","천선란 (지은이)","허블","2025","","9791193078709","","","7,773",
"143","흔한남매 과학 탐험대 4 : 물질","흔한남매 (원작), 이현진, 닥터 스코 (글), 김덕영 (그림), 최진수 (감수), 정현철, 김희목, 권경아, 최진수 (기획)","주니어김영사","2022","4","9788934930549","","","7,767",
"144","똥볶이 할멈 :K-히어로 판타지","글: 강효미 ;그림: 김무연","따끈따끈책방","2021","4","9791190409261","74810","813.7","7,746",
"145","내가 없던 어느 밤에 :이꽃님 장편소설 ","지은이: 이꽃님","우리학교","2025","","9791167553300","43810","813.7","7,744",
"145","설민석의 한국사 대모험","글: 설민석,그림: 정현희","Dankkum i(단꿈아이)","2022","34","9791194616030","74910","911","7,744",
